Receiving GAH,,,,,,,,,,,,,,,,,,,,,,
WWT PO Number,ASN Number,Serial Number,Item Description,Line Num,Item Unit Volume,MFG Part Number,Manufacturer,Order Number,Organization Code,Packing Slip,Po Header Id,Po Line Id,Primary UOM Code,Primary Unit of Measure,Quantity,Serial Control,Shipment Quantity,Vendor Name,Receipt Date,Transacted By,Transaction Date Local Time,Transaction Type
3880892,-,P19766-B21#ABA,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,-,P19766-B21,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,-,P02580-B21,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,-,P02580-B21#0D1,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,-,P02580-L21,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,-,P00918-B21,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,36,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,-,P00918-B21#0D1,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,36,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,-,PQ9712-B21,A,1,-,210-AVUW,DELL,-,40,-,5356538,20160987,Ea,Each,6,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,-,P09712-B21#0D1,A,1,-,210-AVUW,DELL,-,41,-,5356538,20160987,Ea,Each,6,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,,817753-B21,A,1,-,210-AVUW,DELL,-,41,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,,817753-B21#0D1,A,1,-,210-AVUW,DELL,-,41.3,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,,817749-B21,A,1,-,210-AVUW,DELL,-,41.6,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,,817749-B21#0D1,A,1,-,210-AVUW,DELL,-,41.9,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,,804326-B21,A,1,-,210-AVUW,DELL,-,42.2,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,,804326-B21#0D1,A,1,-,210-AVUW,DELL,-,42.5,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,,865414-B21,A,1,-,210-AVUW,DELL,-,42.8,-,5356538,20160987,Ea,Each,6,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,,865414-B21#0D1,A,1,-,210-AVUW,DELL,-,43.1,-,5356538,20160987,Ea,Each,6,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,,734811-B21,A,1,-,210-AVUW,DELL,-,43.4,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,,734811-B21#0D1,A,1,-,210-AVUW,DELL,-,43.7,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,,874543-B21,A,1,-,210-AVUW,DELL,-,44,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,,874543-B21#0D1,A,1,-,210-AVUW,DELL,-,44.3,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
3880892,,P35876-B21,A,1,-,210-AVUW,DELL,-,44.6,-,5356538,20160987,Ea,Each,3,Yes,10,Dell Marketing L.P.,6-Jul-21,"Willeford Jr, Curtis",6-Jul-21,PO Receipt
